Total population,Median age,% BachelorsDeg or higher,Unemployment rate,Per capita income,Total households,Average household size,% Owner occupied housing,% Renter occupied housing,% Vacant housing,Median home value,Population growth,House hold growth,Per capita income growth,Winner,Prediction?
9278,37.9,12.6,21.3,13992.0,3802,2.42,51.9,16.6,31.6,63959.0,-0.69,-0.49,0.71,Barack Obama,N
18594,36.3,9.7,14.3,14622.0,6764,2.55,63.7,16.2,20.1,74330.0,-0.13,0.03,0.85,Barack Obama,N
662628,37.9,27.9,12.1,23909.0,267862,2.41,57.0,28.8,14.2,112687.0,-0.09,0.0,0.55,Barack Obama,N
21292,38.9,14.1,15.7,16829.0,8547,2.47,63.5,17.1,19.4,73643.0,-0.59,-0.43,0.57,Barack Obama,N
13252,34.5,15.0,15.8,13012.0,5222,2.47,53.7,20.7,25.6,56642.0,-1.16,-1.03,0.69,Barack Obama,N
51766,36.5,20.4,9.5,22484.0,19554,2.63,71.1,16.8,12.1,114645.0,1.36,1.52,0.93,Mitt Romney,N
186407,41.8,25.8,10.6,23549.0,75067,2.45,55.8,14.3,29.9,159768.0,2.12,2.24,0.45,Mitt Romney,N
21801,36.6,8.6,12.3,16824.0,8038,2.55,69.1,17.3,13.6,80587.0,0.25,0.45,0.67,Mitt Romney,N
57566,38.8,11.2,11.2,18861.0,22137,2.57,74.7,15.0,10.2,108324.0,1.3,1.39,0.43,Mitt Romney,N
34772,39.9,11.5,18.7,17584.0,14227,2.41,61.9,19.9,18.1,79071.0,-0.46,-0.31,0.6,Mitt Romney,N
14318,40.7,11.5,14.0,16850.0,6000,2.36,62.4,9.8,27.7,64271.0,-1.06,-0.87,0.73,Mitt Romney,N
14874,40.5,11.1,10.0,17641.0,6060,2.44,71.3,17.2,11.5,86748.0,0.59,0.74,0.49,Mitt Romney,N
48162,35.8,15.9,12.7,18142.0,19090,2.44,53.6,29.0,17.4,87323.0,-0.17,-0.01,0.43,Mitt Romney,N
80859,37.0,18.9,10.7,20938.0,28059,2.67,73.6,17.0,9.4,123426.0,1.55,1.66,1.03,Mitt Romney,N
17690,41.2,11.0,14.8,17142.0,7395,2.35,65.5,19.0,15.5,78590.0,-0.46,-0.3,0.56,Mitt Romney,N
329008,37.6,37.8,8.6,26614.0,132679,2.42,62.4,26.7,10.9,144851.0,1.78,1.89,0.9,Mitt Romney,N
29828,41.3,9.6,16.5,18024.0,12481,2.32,64.8,18.3,16.9,77385.0,-0.49,-0.36,0.61,Mitt Romney,N
23425,37.8,11.9,20.7,16894.0,9329,2.49,60.5,15.1,24.5,70984.0,-0.53,-0.37,0.4,Mitt Romney,N
30173,33.6,21.7,11.4,16733.0,12391,2.32,54.5,26.9,18.6,78828.0,0.01,0.15,0.74,Mitt Romney,N
196034,37.0,40.1,8.6,34642.0,75486,2.58,73.6,17.3,9.1,194086.0,2.45,2.5,0.74,Mitt Romney,N
69270,41.1,10.8,12.8,17762.0,28174,2.42,65.8,16.6,17.6,78397.0,-0.23,-0.16,0.49,Mitt Romney,N
79931,36.5,18.3,11.8,19270.0,29322,2.54,54.9,28.3,16.8,73240.0,-0.64,-0.59,0.71,Barack Obama,N
23098,34.0,15.0,14.1,15140.0,8671,2.63,45.3,35.4,19.3,57080.0,-1.35,-1.25,1.08,Barack Obama,N
384681,36.9,31.0,7.9,27521.0,159706,2.35,54.0,35.3,10.6,105369.0,0.62,0.71,1.32,Barack Obama,N
42378,52.0,14.7,8.3,22220.0,19153,2.18,67.6,17.9,14.5,118998.0,0.74,0.83,0.89,Mitt Romney,N
220516,37.0,23.0,6.7,24912.0,82726,2.64,64.3,24.9,10.8,134857.0,2.75,2.71,1.71,Mitt Romney,N
37050,42.0,14.6,7.6,20402.0,15411,2.37,65.0,24.3,10.8,110931.0,0.69,0.8,0.95,Mitt Romney,N
5559,42.7,7.3,7.7,19369.0,2308,2.36,58.3,13.0,28.6,52086.0,-0.53,-0.39,1.01,Mitt Romney,N
25516,47.7,16.2,6.4,21959.0,10992,2.3,57.2,14.3,28.4,111416.0,0.15,0.23,0.85,Mitt Romney,N
94875,35.2,24.0,8.5,22044.0,37804,2.45,58.9,33.4,7.7,93575.0,1.55,1.61,0.76,Mitt Romney,N
8205,41.0,11.6,12.1,17343.0,3183,2.43,51.6,18.4,30.0,48153.0,-1.09,-1.05,1.05,Mitt Romney,N
18691,35.5,20.2,12.4,20225.0,7490,2.4,58.1,26.3,15.5,74894.0,-0.09,0.04,0.93,Mitt Romney,N
18427,40.0,13.0,7.4,18221.0,7247,2.48,68.5,19.7,11.8,82603.0,0.08,0.16,0.76,Mitt Romney,N
11629,46.4,12.4,8.7,18262.0,4879,2.36,61.6,14.8,23.6,84322.0,-0.04,0.04,0.83,Mitt Romney,N
41398,38.8,12.9,11.0,19667.0,16582,2.46,63.6,25.6,10.8,96371.0,0.8,0.87,0.79,Mitt Romney,N
14333,38.4,13.8,9.6,18575.0,5581,2.5,60.1,23.3,16.5,78809.0,-0.17,-0.08,0.92,Mitt Romney,N
34975,40.2,16.0,9.6,20274.0,14022,2.43,65.6,22.7,11.7,84749.0,-0.03,0.07,0.79,Mitt Romney,N
7798,42.5,11.5,11.4,17700.0,3220,2.38,52.8,14.8,32.4,47481.0,-1.03,-0.9,0.83,Mitt Romney,N
14228,35.8,9.3,9.5,15620.0,4181,2.55,60.8,19.5,19.7,62426.0,-0.5,-0.51,1.03,Mitt Romney,N
13326,40.0,9.9,8.6,19659.0,5473,2.4,62.6,19.4,18.0,71022.0,-0.3,-0.18,0.72,Mitt Romney,N
67762,36.4,16.7,7.1,22810.0,25304,2.65,69.6,22.2,8.1,107939.0,1.48,1.6,1.26,Mitt Romney,N
26275,41.1,14.8,9.5,18628.0,10814,2.39,56.0,22.9,21.0,64361.0,-0.96,-0.87,0.69,Mitt Romney,N
20383,40.8,12.9,8.7,17216.0,8179,2.47,64.8,18.5,16.7,82345.0,-0.15,-0.12,1.0,Mitt Romney,N
8766,43.2,10.8,7.9,19343.0,3667,2.35,55.0,19.9,25.1,67234.0,-1.01,-0.89,0.84,Mitt Romney,N
18331,41.7,12.6,9.8,18067.0,7431,2.42,62.2,21.7,16.2,75818.0,-0.38,-0.31,0.85,Mitt Romney,N
11380,39.3,10.2,6.6,16750.0,4507,2.5,63.3,22.4,14.3,69569.0,0.0,0.04,0.74,Mitt Romney,N
16701,35.7,11.2,7.1,16535.0,6008,2.75,65.3,22.7,12.0,75943.0,0.36,0.32,0.66,Mitt Romney,N
18102,47.3,12.1,9.9,17989.0,7717,2.32,61.3,15.4,23.3,77826.0,0.17,0.23,1.08,Mitt Romney,N
75905,37.3,18.1,9.5,19743.0,28724,2.51,66.2,24.8,9.0,99982.0,1.16,1.26,0.79,Mitt Romney,N
133020,31.1,33.9,10.3,22721.0,47250,2.75,45.6,29.2,25.3,162656.0,1.06,1.18,2.9,Barack Obama,N
1021553,37.4,30.1,9.5,25018.0,397863,2.51,56.4,32.1,11.4,134807.0,1.44,1.45,3.05,Barack Obama,N
46369,32.0,18.3,17.1,16487.0,14600,3.16,56.0,26.6,17.4,114416.0,0.63,0.75,3.38,Barack Obama,N
137424,39.4,21.6,8.9,20466.0,51584,2.54,56.2,27.7,16.2,97855.0,1.19,1.27,2.61,Mitt Romney,N
53596,46.7,16.3,13.5,20423.0,21062,2.5,50.8,14.3,34.9,97378.0,0.11,0.12,2.82,Mitt Romney,N
8499,35.3,14.1,12.1,18987.0,3125,2.71,40.2,40.2,19.6,79685.0,1.51,1.55,2.15,Mitt Romney,N
204806,47.1,11.8,11.8,20606.0,80826,2.5,55.1,20.0,24.9,108209.0,1.06,1.04,2.77,Mitt Romney,N
352324,38.2,18.0,13.3,21595.0,126419,2.65,58.0,17.4,24.6,97420.0,6.07,6.42,2.86,Mitt Romney,N
227644,48.7,23.9,9.9,25028.0,94557,2.37,61.8,22.7,15.5,147065.0,1.73,1.75,3.03,Mitt Romney,N
200639,35.0,14.2,18.9,19219.0,69396,2.81,52.2,20.9,26.9,103786.0,1.35,1.43,2.92,Mitt Romney,N
1063960,37.8,38.2,12.7,38994.0,381876,2.76,64.8,30.2,5.0,373549.0,0.68,0.62,2.49,Barack Obama,N
10240505,32.8,28.6,14.4,24448.0,3292577,3.06,44.4,50.4,5.1,361987.0,0.4,0.3,3.11,Barack Obama,N
692531,32.8,16.7,19.1,20754.0,218771,3.09,55.3,37.0,7.7,177927.0,1.0,0.92,2.62,Barack Obama,N
261161,36.1,39.7,9.0,34767.0,93671,2.68,52.9,37.2,10.0,543064.0,-0.05,-0.07,2.76,Barack Obama,N
476974,39.3,31.5,11.5,33664.0,181696,2.56,57.4,33.3,9.3,379388.0,-0.02,-0.03,2.63,Barack Obama,N
524533,32.3,15.8,19.0,20044.0,166419,3.11,56.6,35.8,7.6,166298.0,0.62,0.52,2.55,Barack Obama,N
203927,30.6,38.4,13.8,25069.0,71115,2.75,49.4,45.5,5.1,240221.0,1.46,1.46,2.89,Barack Obama,N
38989,46.7,19.1,11.8,26667.0,14763,2.35,61.7,20.6,17.8,270431.0,0.3,0.39,2.79,Mitt Romney,N
21879,32.5,12.6,11.4,17286.0,6980,3.07,54.8,32.8,12.4,202587.0,0.73,0.64,2.12,Mitt Romney,N
29698,38.1,13.1,14.3,18338.0,9932,2.6,55.6,31.8,12.6,180389.0,0.58,0.64,2.36,Mitt Romney,N
830222,31.2,14.8,18.6,18478.0,255037,3.11,55.0,34.9,10.1,138153.0,1.36,1.32,2.57,Mitt Romney,N
35861,35.2,12.5,11.7,20910.0,10151,2.54,52.7,25.0,22.2,188183.0,-0.01,0.07,2.4,Mitt Romney,N
98135,46.9,29.4,11.7,29963.0,40373,2.41,59.6,20.0,20.5,335645.0,-0.13,-0.04,2.91,Mitt Romney,N
352557,38.8,34.4,11.9,36665.0,134240,2.6,62.9,23.8,13.3,313798.0,2.0,2.06,2.63,Mitt Romney,N
2173606,34.2,20.2,17.5,22040.0,693993,3.08,58.4,27.6,14.0,191710.0,1.78,1.68,2.58,Mitt Romney,N
3321,47.9,17.6,11.7,22749.0,1475,2.23,46.3,19.3,34.4,189826.0,-0.85,-0.42,2.51,Mitt Romney,N
63491,40.4,13.2,18.7,18769.0,24025,2.6,58.4,29.1,12.5,181373.0,0.66,0.67,2.54,Mitt Romney,N
14137,48.2,18.0,15.6,19910.0,6111,2.27,48.5,19.9,31.6,185499.0,0.57,0.62,2.6,Mitt Romney,N
56325,46.4,18.6,14.0,24947.0,22102,2.33,51.0,21.0,28.0,244692.0,-0.27,-0.21,2.78,Mitt Romney,N
75569,32.2,12.2,18.4,16188.0,25582,2.91,46.5,40.0,13.5,138176.0,1.7,1.68,2.35,Mitt Romney,N
452396,33.4,20.2,10.9,24834.0,157844,2.84,62.7,28.7,8.6,202179.0,2.0,1.95,2.77,Barack Obama,N
57194,35.6,41.1,8.2,35177.0,20686,2.76,70.1,22.0,7.8,269498.0,3.49,3.52,2.04,Barack Obama,N
8313,35.3,16.4,9.5,13629.0,3026,2.73,52.6,14.9,32.5,84426.0,-0.22,-0.09,2.66,Barack Obama,N
54722,32.3,46.0,8.7,37103.0,19694,2.76,40.1,24.7,35.2,527529.0,2.75,2.71,2.28,Barack Obama,N
15503,33.1,47.3,7.6,25787.0,6431,2.28,31.6,24.0,44.5,293763.0,1.28,1.39,3.19,Barack Obama,N
8216,31.6,22.0,14.1,22541.0,3109,2.61,47.3,23.1,29.6,146006.0,0.54,0.5,2.68,Barack Obama,N
52482,37.6,39.9,7.6,25664.0,21054,2.41,52.5,25.6,21.9,295963.0,1.8,1.91,3.43,Barack Obama,N
300514,34.9,42.7,7.8,29351.0,118508,2.48,59.1,29.5,11.4,225617.0,1.79,1.89,3.12,Barack Obama,N
16100,41.4,60.7,5.3,47141.0,7361,2.14,36.6,27.1,36.3,815417.0,0.79,0.8,2.99,Barack Obama,N
160630,38.0,20.7,10.8,21044.0,62150,2.52,61.2,27.1,11.6,129872.0,1.11,1.14,2.78,Barack Obama,N
561,46.4,44.2,1.7,20363.0,270,2.06,23.1,11.6,65.3,176190.0,-0.98,-0.98,0.36,Barack Obama,N
7869,35.5,52.2,3.3,37475.0,3605,2.18,26.9,26.4,46.6,498214.0,1.75,1.77,3.45,Barack Obama,N
5926,38.5,13.0,8.6,17319.0,1752,2.52,46.3,22.2,31.5,72802.0,-1.03,-1.4,2.7,Mitt Romney,N
1961,41.8,14.6,1.4,19923.0,779,2.48,51.8,18.3,29.9,81471.0,-1.21,-1.16,2.94,Mitt Romney,N
4176,50.8,30.0,5.8,22216.0,1787,2.33,34.8,9.5,55.8,271451.0,1.02,1.08,3.11,Mitt Romney,N
31553,46.2,19.9,9.3,19730.0,12597,2.43,66.9,20.5,12.6,191171.0,1.07,1.11,2.53,Mitt Romney,N
14932,39.9,37.9,7.3,28663.0,6217,2.34,26.8,12.7,60.5,337945.0,1.5,1.62,3.14,Mitt Romney,N
1413,45.1,20.7,5.2,20234.0,615,2.28,32.7,16.4,50.9,113542.0,-1.13,-0.93,3.06,Mitt Romney,N
5437,39.6,15.2,3.6,19453.0,1803,2.44,51.1,23.6,25.3,101319.0,-1.0,-1.24,2.5,Mitt Romney,N
148729,40.2,24.7,11.7,22096.0,58808,2.47,66.5,26.5,6.9,193751.0,2.57,2.64,2.98,Mitt Romney,N
982,50.9,34.6,1.7,24122.0,448,2.19,25.2,8.9,65.9,194271.0,1.06,1.09,0.09,Mitt Romney,N
14279,37.1,14.3,7.3,21958.0,5446,2.56,62.3,25.3,12.5,154783.0,0.88,0.94,2.22,Mitt Romney,N
28456,34.7,15.3,7.1,17853.0,9799,2.84,59.0,28.1,12.9,146770.0,-0.02,-0.09,2.36,Mitt Romney,N
18913,39.7,17.5,10.4,18282.0,7420,2.47,56.9,26.5,16.6,88914.0,-0.7,-0.68,2.63,Mitt Romney,N
17302,44.2,33.1,8.1,29366.0,7113,2.42,45.2,6.8,47.9,240193.0,0.93,1.0,2.75,Mitt Romney,N
4582,42.3,22.2,4.5,19139.0,1812,2.48,63.5,21.2,15.3,113029.0,-0.26,-0.29,2.54,Mitt Romney,N
6596,39.6,21.8,7.9,21072.0,2586,2.46,56.4,23.8,19.9,156155.0,1.39,1.52,2.19,Mitt Romney,N
12217,40.5,21.1,9.8,18327.0,4661,2.57,49.3,21.1,29.6,112947.0,-0.37,-0.33,3.03,Mitt Romney,N
2457,45.3,15.1,2.4,18765.0,1040,2.31,54.2,20.8,25.0,76667.0,-1.09,-1.1,3.13,Mitt Romney,N
22898,42.6,34.7,9.0,27333.0,8956,2.54,57.9,14.2,27.9,212227.0,0.95,0.98,2.77,Mitt Romney,N
4512,42.7,16.1,3.3,19673.0,1751,2.45,53.1,19.5,27.3,99737.0,-1.23,-1.28,2.72,Mitt Romney,N
885075,40.3,33.2,11.0,32159.0,345159,2.48,59.5,33.7,6.8,227678.0,0.2,0.19,2.77,Barack Obama,N
167218,41.7,37.3,8.6,38400.0,67037,2.4,65.3,25.7,9.0,256126.0,0.55,0.63,2.32,Barack Obama,N
265769,39.7,29.9,9.3,30787.0,104223,2.44,58.8,29.6,11.6,228992.0,0.02,0.09,2.55,Barack Obama,N
119504,38.9,22.0,11.3,25171.0,44773,2.57,62.1,30.2,7.8,183676.0,0.72,0.72,2.72,Barack Obama,N
161048,36.1,21.3,9.4,23521.0,60841,2.59,64.7,27.1,8.2,183261.0,1.98,2.05,3.1,Barack Obama,N
1754788,40.1,29.8,11.3,27635.0,687170,2.52,57.3,26.7,16.0,138906.0,-0.07,-0.2,2.18,Barack Obama,N
49758,36.6,16.5,12.9,17665.0,17501,2.63,65.9,20.0,14.1,92155.0,0.63,0.79,1.99,Barack Obama,N
14782,41.8,21.2,9.0,19623.0,5172,2.48,68.3,16.9,14.8,100258.0,0.51,0.69,2.05,Barack Obama,N
273560,31.1,42.5,10.2,26264.0,112752,2.31,50.1,39.1,10.8,148427.0,0.94,1.05,2.22,Barack Obama,N
73868,46.4,30.2,6.7,29967.0,31484,2.3,36.2,21.8,42.0,299915.0,-0.95,-1.03,1.82,Barack Obama,N
922197,47.1,27.5,12.0,28371.0,411083,2.19,57.3,24.8,17.9,107956.0,-0.35,-0.36,2.03,Barack Obama,N
277366,45.6,18.0,13.4,22965.0,109742,2.5,60.0,17.6,22.3,111738.0,2.14,2.13,1.84,Barack Obama,N
